trial,rmse
1,0.5870048561165138
2,0.49532160045375906
3,0.5225667016839775
4,0.535247481213128
5,0.5479879909033231
6,0.5313945073955066
7,0.4187611809706907
8,0.4718340607247465
9,0.5229867793522819
10,0.5191753971604497
11,0.5565631759104706
12,0.43155430931640953
13,0.801654727992022
14,0.3952974830922888
15,0.36370520924132577
16,0.36912384546691646
17,0.3551296340824572
18,0.3449072573499772
19,0.3494678140798511
20,0.37493458529494167
21,0.4814349706267883
22,0.35503245055603666
23,0.3533025108785396
24,0.4666013642904416
25,0.35314076425508506
26,0.3868826063079151
27,0.3691663267022962
28,0.4002409091714019
29,0.4370112020879462
30,0.4299902791780232
31,0.42549398687781276
32,0.349330162496787
33,0.3470563575546077
34,0.3641669150401007
35,0.39591427938102075
36,0.3896537213666361
37,0.41484423091806594
38,0.46656238010250833
39,0.3690395949408777
40,0.4333584561368218
41,0.36972739807431443
42,0.3720978452045491
43,0.3427335826778908
44,0.35227094774664275
45,0.3921825151937745
46,0.45635788772437275
47,0.4675824752033189
48,0.37587704219598156
49,0.38968570026103017
50,0.3593142212425905
51,0.36721657029378907
52,0.3490183953381347
53,0.3607724437742293
54,0.3546630174829139
55,0.4164024714704997
56,0.5206380238259996
57,0.3931543466882865
58,0.6508047366424216
59,0.35910384784722243
60,0.4113878313585196
61,0.47963170199969485
62,0.3555779830295076
63,0.38170751627051774
64,0.3655956816533436
65,0.34606662071730676
66,0.35444713028288205
67,0.41619299217244804
68,0.4898762456807412
69,0.3828938417334453
70,0.3743885000406723
71,0.5418411684524645
72,0.3350874642046404
73,0.3380721530572347
74,0.33599943026781703
75,0.34039044919024647
76,0.3434835268827868
77,0.34060510621058754
78,0.3469864484777306
79,0.35710675443852213
80,0.34897950416489787
81,0.3404026804989518
82,0.3450154974729282
83,0.36230601411744257
84,0.3569749007101481
85,0.39001053603314867
86,0.3537065261820735
87,0.33157323971573543
88,0.346414377727965
89,0.4024824008089676
90,0.34924907202610833
91,0.34227212404537366
92,0.3402740525319978
93,0.3377495956813214
94,0.35303990731659524
95,0.35696713857968343
96,0.3882262133497273
97,0.3590365933495887
98,0.5335441436468021
99,0.35663850941439895
100,0.35931645844920523
