trial,rmse
1,0.48653906212716586
2,0.5747611389577815
3,0.6434066654786218
4,0.583795860501833
5,0.5183373857011747
6,0.6451246803404048
7,0.5489765635267708
8,0.5371075003772978
9,0.5760014858162702
10,0.6207264175499091
11,0.548783023862641
12,0.4035462544633033
13,0.41580532828661104
14,0.5438865721395422
15,0.47185803633833956
16,0.4625610250861189
17,0.3756548201817239
18,0.5977752459774591
19,0.5411171365225419
20,0.6046995550419574
21,0.47669457551681865
22,0.4055507539685877
23,0.38303176847098874
24,0.38528699257552795
25,0.4358139519044238
26,0.4518214661964434
27,0.3461161034516669
28,0.4747962357499962
29,0.4082346199822361
30,0.4685752647055723
31,0.36190837122790925
32,0.3660894632682513
33,0.36180855524968575
34,0.3648647712910558
35,0.36320118340525215
36,0.3881619333291097
37,0.434761602936332
38,0.383412234235818
39,0.4072089143393216
40,0.410718128786184
41,0.5503582882685835
42,0.36258985888644696
43,0.36633867534792897
44,0.394673009553158
45,0.42709541415300295
46,0.5394005263371058
47,0.5584907274340292
48,0.40987524993189
49,0.6938676101495026
50,0.5774332197700954
51,0.39186428849569865
52,0.3567136225185493
53,0.36142620318419194
54,0.3650920138997333
55,0.5767135811978124
56,0.3723460794930541
57,0.4129081490704278
58,0.35827920622792425
59,0.35494156430844126
60,0.3473497018315668
61,0.34695298005195596
62,0.34388747040838075
63,0.3426406968132551
64,0.34551009051325826
65,0.34418594102470046
66,0.3361005958857903
67,0.3376379520594505
68,0.3837579735762553
69,0.34007655287708033
70,0.3404830072263765
71,0.3502014311447853
72,0.3426843483399799
73,0.33619639587801137
74,0.36888630021849045
75,0.35204641832742145
76,0.42920224582679645
77,0.35049846459614686
78,0.34775461831858046
79,0.5696317969737611
80,0.4177178868043491
81,0.35706951791727076
82,0.3453999954906486
83,0.39173220250782914
84,0.36698585103958997
85,0.3429994989027515
86,0.35313377408227886
87,0.344831524208377
88,0.35111625115601913
89,0.35447043099220515
90,0.3644924613325746
91,0.3884777763627918
92,0.3444688549628455
93,0.3453602800756458
94,0.37793128071590193
95,0.3504313096423669
96,0.3455987580752098
97,0.3556798283174878
98,0.5115779643359321
99,0.34176079389940894
100,0.3946089430836739
